"bundesland";"freq";"date"
"W";1677;2020-04-04 00:00:00
"Vbg";715;2020-04-04 00:00:00
"T";2633;2020-04-04 00:00:00
"Stmk";1226;2020-04-04 00:00:00
"Sbg";1057;2020-04-04 00:00:00
"OÖ";1868;2020-04-04 00:00:00
"NÖ";1831;2020-04-04 00:00:00
"Ktn";307;2020-04-04 00:00:00
"Bgld";210;2020-04-04 00:00:00
"W";1677;2020-04-04 01:00:00
"Vbg";715;2020-04-04 01:00:00
"T";2633;2020-04-04 01:00:00
"Stmk";1226;2020-04-04 01:00:00
"Sbg";1057;2020-04-04 01:00:00
"OÖ";1868;2020-04-04 01:00:00
"NÖ";1831;2020-04-04 01:00:00
"Ktn";307;2020-04-04 01:00:00
"Bgld";210;2020-04-04 01:00:00
"W";1677;2020-04-04 02:00:00
"Vbg";715;2020-04-04 02:00:00
"T";2633;2020-04-04 02:00:00
"Stmk";1226;2020-04-04 02:00:00
"Sbg";1057;2020-04-04 02:00:00
"OÖ";1868;2020-04-04 02:00:00
"NÖ";1831;2020-04-04 02:00:00
"Ktn";307;2020-04-04 02:00:00
"Bgld";210;2020-04-04 02:00:00
"W";1677;2020-04-04 03:00:00
"Vbg";715;2020-04-04 03:00:00
"T";2633;2020-04-04 03:00:00
"Stmk";1226;2020-04-04 03:00:00
"Sbg";1057;2020-04-04 03:00:00
"OÖ";1868;2020-04-04 03:00:00
"NÖ";1831;2020-04-04 03:00:00
"Ktn";307;2020-04-04 03:00:00
"Bgld";210;2020-04-04 03:00:00
"W";1677;2020-04-04 04:00:00
"Vbg";715;2020-04-04 04:00:00
"T";2633;2020-04-04 04:00:00
"Stmk";1226;2020-04-04 04:00:00
"Sbg";1057;2020-04-04 04:00:00
"OÖ";1868;2020-04-04 04:00:00
"NÖ";1831;2020-04-04 04:00:00
"Ktn";307;2020-04-04 04:00:00
"Bgld";210;2020-04-04 04:00:00
