"altersgruppe";"freq";"date"
"<5";67;2020-04-10 00:00:00
"5-14";297;2020-04-10 00:00:00
"15-24";1235;2020-04-10 00:00:00
"25-34";1871;2020-04-10 00:00:00
"35-44";1880;2020-04-10 00:00:00
"45-54";2815;2020-04-10 00:00:00
"55-64";2238;2020-04-10 00:00:00
">64";2845;2020-04-10 00:00:00
"<5";66;2020-04-10 01:00:00
"5-14";298;2020-04-10 01:00:00
"15-24";1235;2020-04-10 01:00:00
"25-34";1871;2020-04-10 01:00:00
"35-44";1880;2020-04-10 01:00:00
"45-54";2815;2020-04-10 01:00:00
"55-64";2238;2020-04-10 01:00:00
">64";2845;2020-04-10 01:00:00
"<5";66;2020-04-10 02:00:00
"5-14";298;2020-04-10 02:00:00
"15-24";1235;2020-04-10 02:00:00
"25-34";1871;2020-04-10 02:00:00
"35-44";1880;2020-04-10 02:00:00
"45-54";2815;2020-04-10 02:00:00
"55-64";2238;2020-04-10 02:00:00
">64";2845;2020-04-10 02:00:00
"<5";66;2020-04-10 03:00:00
"5-14";298;2020-04-10 03:00:00
"15-24";1235;2020-04-10 03:00:00
"25-34";1871;2020-04-10 03:00:00
"35-44";1880;2020-04-10 03:00:00
"45-54";2815;2020-04-10 03:00:00
"55-64";2238;2020-04-10 03:00:00
">64";2845;2020-04-10 03:00:00
"<5";66;2020-04-10 04:00:00
"5-14";298;2020-04-10 04:00:00
"15-24";1235;2020-04-10 04:00:00
"25-34";1871;2020-04-10 04:00:00
"35-44";1880;2020-04-10 04:00:00
"45-54";2815;2020-04-10 04:00:00
"55-64";2238;2020-04-10 04:00:00
">64";2845;2020-04-10 04:00:00
"<5";66;2020-04-10 05:00:00
"5-14";298;2020-04-10 05:00:00
"15-24";1235;2020-04-10 05:00:00
"25-34";1871;2020-04-10 05:00:00
"35-44";1880;2020-04-10 05:00:00
"45-54";2815;2020-04-10 05:00:00
"55-64";2238;2020-04-10 05:00:00
">64";2845;2020-04-10 05:00:00
"<5";66;2020-04-10 06:00:00
"5-14";298;2020-04-10 06:00:00
"15-24";1235;2020-04-10 06:00:00
"25-34";1871;2020-04-10 06:00:00
"35-44";1880;2020-04-10 06:00:00
"45-54";2815;2020-04-10 06:00:00
"55-64";2238;2020-04-10 06:00:00
">64";2845;2020-04-10 06:00:00
"<5";66;2020-04-10 07:00:00
"5-14";298;2020-04-10 07:00:00
"15-24";1237;2020-04-10 07:00:00
"25-34";1875;2020-04-10 07:00:00
"35-44";1882;2020-04-10 07:00:00
"45-54";2817;2020-04-10 07:00:00
"55-64";2242;2020-04-10 07:00:00
">64";2853;2020-04-10 07:00:00
"<5";66;2020-04-10 08:00:00
"5-14";298;2020-04-10 08:00:00
"15-24";1237;2020-04-10 08:00:00
"25-34";1875;2020-04-10 08:00:00
"35-44";1882;2020-04-10 08:00:00
"45-54";2817;2020-04-10 08:00:00
"55-64";2242;2020-04-10 08:00:00
">64";2854;2020-04-10 08:00:00
"<5";66;2020-04-10 09:00:00
"5-14";298;2020-04-10 09:00:00
"15-24";1242;2020-04-10 09:00:00
"25-34";1878;2020-04-10 09:00:00
"35-44";1883;2020-04-10 09:00:00
"45-54";2830;2020-04-10 09:00:00
"55-64";2247;2020-04-10 09:00:00
">64";2862;2020-04-10 09:00:00
