"altersgruppe";"freq";"date"
"<5";54;2020-04-06 00:00:00
"5-14";276;2020-04-06 00:00:00
"15-24";1114;2020-04-06 00:00:00
"25-34";1724;2020-04-06 00:00:00
"35-44";1734;2020-04-06 00:00:00
"45-54";2557;2020-04-06 00:00:00
"55-64";2044;2020-04-06 00:00:00
">64";2480;2020-04-06 00:00:00
"<5";54;2020-04-06 01:00:00
"5-14";276;2020-04-06 01:00:00
"15-24";1114;2020-04-06 01:00:00
"25-34";1724;2020-04-06 01:00:00
"35-44";1734;2020-04-06 01:00:00
"45-54";2557;2020-04-06 01:00:00
"55-64";2044;2020-04-06 01:00:00
">64";2480;2020-04-06 01:00:00
"<5";54;2020-04-06 02:00:00
"5-14";276;2020-04-06 02:00:00
"15-24";1114;2020-04-06 02:00:00
"25-34";1724;2020-04-06 02:00:00
"35-44";1734;2020-04-06 02:00:00
"45-54";2557;2020-04-06 02:00:00
"55-64";2044;2020-04-06 02:00:00
">64";2480;2020-04-06 02:00:00
"<5";54;2020-04-06 03:00:00
"5-14";276;2020-04-06 03:00:00
"15-24";1114;2020-04-06 03:00:00
"25-34";1724;2020-04-06 03:00:00
"35-44";1734;2020-04-06 03:00:00
"45-54";2557;2020-04-06 03:00:00
"55-64";2044;2020-04-06 03:00:00
">64";2480;2020-04-06 03:00:00
"<5";54;2020-04-06 04:00:00
"5-14";276;2020-04-06 04:00:00
"15-24";1114;2020-04-06 04:00:00
"25-34";1724;2020-04-06 04:00:00
"35-44";1734;2020-04-06 04:00:00
"45-54";2557;2020-04-06 04:00:00
"55-64";2044;2020-04-06 04:00:00
">64";2480;2020-04-06 04:00:00
"<5";54;2020-04-06 05:00:00
"5-14";276;2020-04-06 05:00:00
"15-24";1114;2020-04-06 05:00:00
"25-34";1724;2020-04-06 05:00:00
"35-44";1734;2020-04-06 05:00:00
"45-54";2557;2020-04-06 05:00:00
"55-64";2044;2020-04-06 05:00:00
">64";2480;2020-04-06 05:00:00
"<5";54;2020-04-06 06:00:00
"5-14";276;2020-04-06 06:00:00
"15-24";1114;2020-04-06 06:00:00
"25-34";1724;2020-04-06 06:00:00
"35-44";1734;2020-04-06 06:00:00
"45-54";2557;2020-04-06 06:00:00
"55-64";2044;2020-04-06 06:00:00
">64";2480;2020-04-06 06:00:00
"<5";54;2020-04-06 07:00:00
"5-14";276;2020-04-06 07:00:00
"15-24";1114;2020-04-06 07:00:00
"25-34";1725;2020-04-06 07:00:00
"35-44";1734;2020-04-06 07:00:00
"45-54";2557;2020-04-06 07:00:00
"55-64";2044;2020-04-06 07:00:00
">64";2480;2020-04-06 07:00:00
"<5";55;2020-04-06 08:00:00
"5-14";278;2020-04-06 08:00:00
"15-24";1116;2020-04-06 08:00:00
"25-34";1727;2020-04-06 08:00:00
"35-44";1735;2020-04-06 08:00:00
"45-54";2563;2020-04-06 08:00:00
"55-64";2044;2020-04-06 08:00:00
">64";2490;2020-04-06 08:00:00
"<5";54;2020-04-06 09:00:00
"5-14";278;2020-04-06 09:00:00
"15-24";1119;2020-04-06 09:00:00
"25-34";1728;2020-04-06 09:00:00
"35-44";1737;2020-04-06 09:00:00
"45-54";2565;2020-04-06 09:00:00
"55-64";2044;2020-04-06 09:00:00
">64";2501;2020-04-06 09:00:00
