"altersgruppe";"freq";"date"
"<5";41;2020-03-31 00:00:00
"5-14";204;2020-03-31 00:00:00
"15-24";875;2020-03-31 00:00:00
"25-34";1413;2020-03-31 00:00:00
"35-44";1422;2020-03-31 00:00:00
"45-54";2063;2020-03-31 00:00:00
"55-64";1679;2020-03-31 00:00:00
">64";1921;2020-03-31 00:00:00
"<5";41;2020-03-31 01:00:00
"5-14";204;2020-03-31 01:00:00
"15-24";875;2020-03-31 01:00:00
"25-34";1413;2020-03-31 01:00:00
"35-44";1422;2020-03-31 01:00:00
"45-54";2062;2020-03-31 01:00:00
"55-64";1679;2020-03-31 01:00:00
">64";1922;2020-03-31 01:00:00
"<5";41;2020-03-31 02:00:00
"5-14";204;2020-03-31 02:00:00
"15-24";875;2020-03-31 02:00:00
"25-34";1413;2020-03-31 02:00:00
"35-44";1422;2020-03-31 02:00:00
"45-54";2062;2020-03-31 02:00:00
"55-64";1679;2020-03-31 02:00:00
">64";1922;2020-03-31 02:00:00
"<5";41;2020-03-31 03:00:00
"5-14";204;2020-03-31 03:00:00
"15-24";875;2020-03-31 03:00:00
"25-34";1413;2020-03-31 03:00:00
"35-44";1422;2020-03-31 03:00:00
"45-54";2062;2020-03-31 03:00:00
"55-64";1679;2020-03-31 03:00:00
">64";1922;2020-03-31 03:00:00
