"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
9618;999;193;49455;2020-03-31 00:00:00
9618;999;193;49455;2020-03-31 01:00:00
9618;999;193;49455;2020-03-31 02:00:00
9618;999;193;49455;2020-03-31 03:00:00
9618;999;193;49455;2020-03-31 04:00:00
9618;999;193;49455;2020-03-31 05:00:00
9618;999;193;49455;2020-03-31 06:00:00
9619;999;193;49455;2020-03-31 07:00:00
9634;999;193;49455;2020-03-31 08:00:00
9705;999;193;49455;2020-03-31 09:00:00
9772;999;193;49455;2020-03-31 10:00:00
9851;1.11;198;52344;2020-03-31 12:00:00
