"geschlecht","freq","date"
"männlich",50,2020-04-09 00:00:00
"weiblich",50,2020-04-09 00:00:00
"männlich",50,2020-04-09 01:00:00
"weiblich",50,2020-04-09 01:00:00
"männlich",50,2020-04-09 02:00:00
"weiblich",50,2020-04-09 02:00:00
"männlich",50,2020-04-09 03:00:00
"weiblich",50,2020-04-09 03:00:00
"männlich",50,2020-04-09 04:00:00
"weiblich",50,2020-04-09 04:00:00
"männlich",50,2020-04-09 05:00:00
"weiblich",50,2020-04-09 05:00:00
"männlich",50,2020-04-09 06:00:00
"weiblich",50,2020-04-09 06:00:00
"männlich",50,2020-04-09 07:00:00
"weiblich",50,2020-04-09 07:00:00
"männlich",50,2020-04-09 08:00:00
"weiblich",50,2020-04-09 08:00:00
"männlich",50,2020-04-09 09:00:00
"weiblich",50,2020-04-09 09:00:00
"männlich",50,2020-04-09 10:00:00
"weiblich",50,2020-04-09 10:00:00
"männlich",50,2020-04-09 11:00:00
"weiblich",50,2020-04-09 11:00:00
"männlich",50,2020-04-09 12:00:00
"weiblich",50,2020-04-09 12:00:00
"männlich",50,2020-04-09 13:00:00
"weiblich",50,2020-04-09 13:00:00
"männlich",50,2020-04-09 14:00:00
"weiblich",50,2020-04-09 14:00:00
"männlich",50,2020-04-09 15:00:00
"weiblich",50,2020-04-09 15:00:00
"männlich",50,2020-04-09 16:00:00
"weiblich",50,2020-04-09 16:00:00
"männlich",50,2020-04-09 17:00:00
"weiblich",50,2020-04-09 17:00:00
"männlich",50,2020-04-09 18:00:00
"weiblich",50,2020-04-09 18:00:00
"männlich",50,2020-04-09 19:00:00
"weiblich",50,2020-04-09 19:00:00
"männlich",50,2020-04-09 20:00:00
"weiblich",50,2020-04-09 20:00:00
"männlich",50,2020-04-09 21:00:00
"weiblich",50,2020-04-09 21:00:00
"männlich",50,2020-04-09 22:00:00
"weiblich",50,2020-04-09 22:00:00
