"bundesland";"freq";"date"
"W";1607;2020-04-03 00:00:00
"Vbg";697;2020-04-03 00:00:00
"T";2569;2020-04-03 00:00:00
"Stmk";1169;2020-04-03 00:00:00
"Sbg";1033;2020-04-03 00:00:00
"OÖ";1805;2020-04-03 00:00:00
"NÖ";1746;2020-04-03 00:00:00
"Ktn";300;2020-04-03 00:00:00
"Bgld";203;2020-04-03 00:00:00
"W";1607;2020-04-03 01:00:00
"Vbg";697;2020-04-03 01:00:00
"T";2569;2020-04-03 01:00:00
"Stmk";1169;2020-04-03 01:00:00
"Sbg";1033;2020-04-03 01:00:00
"OÖ";1805;2020-04-03 01:00:00
"NÖ";1746;2020-04-03 01:00:00
"Ktn";300;2020-04-03 01:00:00
"Bgld";203;2020-04-03 01:00:00
"W";1607;2020-04-03 02:00:00
"Vbg";697;2020-04-03 02:00:00
"T";2569;2020-04-03 02:00:00
"Stmk";1169;2020-04-03 02:00:00
"Sbg";1033;2020-04-03 02:00:00
"OÖ";1805;2020-04-03 02:00:00
"NÖ";1746;2020-04-03 02:00:00
"Ktn";300;2020-04-03 02:00:00
"Bgld";203;2020-04-03 02:00:00
"W";1607;2020-04-03 03:00:00
"Vbg";697;2020-04-03 03:00:00
"T";2569;2020-04-03 03:00:00
"Stmk";1169;2020-04-03 03:00:00
"Sbg";1033;2020-04-03 03:00:00
"OÖ";1805;2020-04-03 03:00:00
"NÖ";1746;2020-04-03 03:00:00
"Ktn";300;2020-04-03 03:00:00
"Bgld";203;2020-04-03 03:00:00
"W";1607;2020-04-03 04:00:00
"Vbg";697;2020-04-03 04:00:00
"T";2569;2020-04-03 04:00:00
"Stmk";1169;2020-04-03 04:00:00
"Sbg";1033;2020-04-03 04:00:00
"OÖ";1805;2020-04-03 04:00:00
"NÖ";1746;2020-04-03 04:00:00
"Ktn";300;2020-04-03 04:00:00
"Bgld";203;2020-04-03 04:00:00
"W";1607;2020-04-03 05:00:00
"Vbg";697;2020-04-03 05:00:00
"T";2569;2020-04-03 05:00:00
"Stmk";1169;2020-04-03 05:00:00
"Sbg";1033;2020-04-03 05:00:00
"OÖ";1805;2020-04-03 05:00:00
"NÖ";1746;2020-04-03 05:00:00
"Ktn";300;2020-04-03 05:00:00
"Bgld";203;2020-04-03 05:00:00
"W";1607;2020-04-03 06:00:00
"Vbg";697;2020-04-03 06:00:00
"T";2569;2020-04-03 06:00:00
"Stmk";1169;2020-04-03 06:00:00
"Sbg";1033;2020-04-03 06:00:00
"OÖ";1805;2020-04-03 06:00:00
"NÖ";1746;2020-04-03 06:00:00
"Ktn";300;2020-04-03 06:00:00
"Bgld";203;2020-04-03 06:00:00
"W";1607;2020-04-03 07:00:00
"Vbg";697;2020-04-03 07:00:00
"T";2568;2020-04-03 07:00:00
"Stmk";1169;2020-04-03 07:00:00
"Sbg";1033;2020-04-03 07:00:00
"OÖ";1805;2020-04-03 07:00:00
"NÖ";1746;2020-04-03 07:00:00
"Ktn";299;2020-04-03 07:00:00
"Bgld";203;2020-04-03 07:00:00
"W";1620;2020-04-03 08:00:00
"Vbg";697;2020-04-03 08:00:00
"T";2568;2020-04-03 08:00:00
"Stmk";1169;2020-04-03 08:00:00
"Sbg";1033;2020-04-03 08:00:00
"OÖ";1806;2020-04-03 08:00:00
"NÖ";1775;2020-04-03 08:00:00
"Ktn";300;2020-04-03 08:00:00
"Bgld";203;2020-04-03 08:00:00
"W";1621;2020-04-03 09:00:00
"Vbg";697;2020-04-03 09:00:00
"T";2575;2020-04-03 09:00:00
"Stmk";1169;2020-04-03 09:00:00
"Sbg";1033;2020-04-03 09:00:00
"OÖ";1810;2020-04-03 09:00:00
"NÖ";1790;2020-04-03 09:00:00
"Ktn";300;2020-04-03 09:00:00
"Bgld";204;2020-04-03 09:00:00
"W";1623;2020-04-03 10:00:00
"Vbg";697;2020-04-03 10:00:00
"T";2580;2020-04-03 10:00:00
"Stmk";1179;2020-04-03 10:00:00
"Sbg";1033;2020-04-03 10:00:00
"OÖ";1810;2020-04-03 10:00:00
"NÖ";1795;2020-04-03 10:00:00
"Ktn";301;2020-04-03 10:00:00
"Bgld";206;2020-04-03 10:00:00
"W";1625;2020-04-03 11:00:00
"Vbg";697;2020-04-03 11:00:00
"T";2580;2020-04-03 11:00:00
"Stmk";1179;2020-04-03 11:00:00
"Sbg";1033;2020-04-03 11:00:00
"OÖ";1810;2020-04-03 11:00:00
"NÖ";1807;2020-04-03 11:00:00
"Ktn";301;2020-04-03 11:00:00
"Bgld";206;2020-04-03 11:00:00
"W";1626;2020-04-03 12:00:00
"Vbg";697;2020-04-03 12:00:00
"T";2587;2020-04-03 12:00:00
"Stmk";1179;2020-04-03 12:00:00
"Sbg";1033;2020-04-03 12:00:00
"OÖ";1816;2020-04-03 12:00:00
"NÖ";1806;2020-04-03 12:00:00
"Ktn";301;2020-04-03 12:00:00
"Bgld";206;2020-04-03 12:00:00
"W";1635;2020-04-03 13:00:00
"Vbg";708;2020-04-03 13:00:00
"T";2589;2020-04-03 13:00:00
