"bundesland";"freq";"date"
"W";1607;2020-04-03 00:00:00
"Vbg";697;2020-04-03 00:00:00
"T";2569;2020-04-03 00:00:00
"Stmk";1169;2020-04-03 00:00:00
"Sbg";1033;2020-04-03 00:00:00
"OÖ";1805;2020-04-03 00:00:00
"NÖ";1746;2020-04-03 00:00:00
"Ktn";300;2020-04-03 00:00:00
"Bgld";203;2020-04-03 00:00:00
"W";1607;2020-04-03 01:00:00
"Vbg";697;2020-04-03 01:00:00
"T";2569;2020-04-03 01:00:00
"Stmk";1169;2020-04-03 01:00:00
"Sbg";1033;2020-04-03 01:00:00
"OÖ";1805;2020-04-03 01:00:00
"NÖ";1746;2020-04-03 01:00:00
"Ktn";300;2020-04-03 01:00:00
"Bgld";203;2020-04-03 01:00:00
"W";1607;2020-04-03 02:00:00
"Vbg";697;2020-04-03 02:00:00
"T";2569;2020-04-03 02:00:00
"Stmk";1169;2020-04-03 02:00:00
"Sbg";1033;2020-04-03 02:00:00
"OÖ";1805;2020-04-03 02:00:00
"NÖ";1746;2020-04-03 02:00:00
"Ktn";300;2020-04-03 02:00:00
"Bgld";203;2020-04-03 02:00:00
"W";1607;2020-04-03 03:00:00
"Vbg";697;2020-04-03 03:00:00
"T";2569;2020-04-03 03:00:00
"Stmk";1169;2020-04-03 03:00:00
"Sbg";1033;2020-04-03 03:00:00
"OÖ";1805;2020-04-03 03:00:00
"NÖ";1746;2020-04-03 03:00:00
"Ktn";300;2020-04-03 03:00:00
"Bgld";203;2020-04-03 03:00:00
"W";1607;2020-04-03 04:00:00
"Vbg";697;2020-04-03 04:00:00
"T";2569;2020-04-03 04:00:00
"Stmk";1169;2020-04-03 04:00:00
"Sbg";1033;2020-04-03 04:00:00
"OÖ";1805;2020-04-03 04:00:00
"NÖ";1746;2020-04-03 04:00:00
"Ktn";300;2020-04-03 04:00:00
"Bgld";203;2020-04-03 04:00:00
"W";1607;2020-04-03 05:00:00
"Vbg";697;2020-04-03 05:00:00
"T";2569;2020-04-03 05:00:00
"Stmk";1169;2020-04-03 05:00:00
"Sbg";1033;2020-04-03 05:00:00
"OÖ";1805;2020-04-03 05:00:00
"NÖ";1746;2020-04-03 05:00:00
"Ktn";300;2020-04-03 05:00:00
"Bgld";203;2020-04-03 05:00:00
"W";1607;2020-04-03 06:00:00
"Vbg";697;2020-04-03 06:00:00
"T";2569;2020-04-03 06:00:00
"Stmk";1169;2020-04-03 06:00:00
"Sbg";1033;2020-04-03 06:00:00
"OÖ";1805;2020-04-03 06:00:00
"NÖ";1746;2020-04-03 06:00:00
"Ktn";300;2020-04-03 06:00:00
"Bgld";203;2020-04-03 06:00:00
"W";1607;2020-04-03 07:00:00
"Vbg";697;2020-04-03 07:00:00
"T";2568;2020-04-03 07:00:00
"Stmk";1169;2020-04-03 07:00:00
"Sbg";1033;2020-04-03 07:00:00
"OÖ";1805;2020-04-03 07:00:00
"NÖ";1746;2020-04-03 07:00:00
"Ktn";299;2020-04-03 07:00:00
"Bgld";203;2020-04-03 07:00:00
