"altersgruppe";"freq";"date"
"<5";69;2020-04-13 00:00:00
"5-14";315;2020-04-13 00:00:00
"15-24";1309;2020-04-13 00:00:00
"25-34";1943;2020-04-13 00:00:00
"35-44";1958;2020-04-13 00:00:00
"45-54";2955;2020-04-13 00:00:00
"55-64";2352;2020-04-13 00:00:00
">64";3036;2020-04-13 00:00:00
"<5";69;2020-04-13 01:00:00
"5-14";315;2020-04-13 01:00:00
"15-24";1308;2020-04-13 01:00:00
"25-34";1944;2020-04-13 01:00:00
"35-44";1957;2020-04-13 01:00:00
"45-54";2954;2020-04-13 01:00:00
"55-64";2354;2020-04-13 01:00:00
">64";3036;2020-04-13 01:00:00
"<5";69;2020-04-13 02:00:00
"5-14";315;2020-04-13 02:00:00
"15-24";1308;2020-04-13 02:00:00
"25-34";1944;2020-04-13 02:00:00
"35-44";1957;2020-04-13 02:00:00
"45-54";2954;2020-04-13 02:00:00
"55-64";2354;2020-04-13 02:00:00
">64";3036;2020-04-13 02:00:00
"<5";69;2020-04-13 03:00:00
"5-14";315;2020-04-13 03:00:00
"15-24";1308;2020-04-13 03:00:00
"25-34";1944;2020-04-13 03:00:00
"35-44";1957;2020-04-13 03:00:00
"45-54";2954;2020-04-13 03:00:00
"55-64";2354;2020-04-13 03:00:00
">64";3036;2020-04-13 03:00:00
"<5";69;2020-04-13 04:00:00
"5-14";315;2020-04-13 04:00:00
"15-24";1308;2020-04-13 04:00:00
"25-34";1944;2020-04-13 04:00:00
"35-44";1957;2020-04-13 04:00:00
"45-54";2954;2020-04-13 04:00:00
"55-64";2354;2020-04-13 04:00:00
">64";3036;2020-04-13 04:00:00
"<5";69;2020-04-13 05:00:00
"5-14";315;2020-04-13 05:00:00
"15-24";1308;2020-04-13 05:00:00
"25-34";1944;2020-04-13 05:00:00
"35-44";1957;2020-04-13 05:00:00
"45-54";2954;2020-04-13 05:00:00
"55-64";2354;2020-04-13 05:00:00
">64";3036;2020-04-13 05:00:00
"<5";69;2020-04-13 06:00:00
"5-14";315;2020-04-13 06:00:00
"15-24";1308;2020-04-13 06:00:00
"25-34";1944;2020-04-13 06:00:00
"35-44";1957;2020-04-13 06:00:00
"45-54";2954;2020-04-13 06:00:00
"55-64";2354;2020-04-13 06:00:00
">64";3036;2020-04-13 06:00:00
"<5";69;2020-04-13 07:00:00
"5-14";315;2020-04-13 07:00:00
"15-24";1308;2020-04-13 07:00:00
"25-34";1944;2020-04-13 07:00:00
"35-44";1957;2020-04-13 07:00:00
"45-54";2956;2020-04-13 07:00:00
"55-64";2355;2020-04-13 07:00:00
">64";3036;2020-04-13 07:00:00
"<5";69;2020-04-13 08:00:00
"5-14";315;2020-04-13 08:00:00
"15-24";1309;2020-04-13 08:00:00
"25-34";1944;2020-04-13 08:00:00
"35-44";1957;2020-04-13 08:00:00
"45-54";2956;2020-04-13 08:00:00
"55-64";2355;2020-04-13 08:00:00
">64";3037;2020-04-13 08:00:00
