"datum";"freq";"date"
"26.02";2;2020-03-25 15:15:00
"27.02";5;2020-03-25 15:15:00
"28.02";11;2020-03-25 15:15:00
"29.02";11;2020-03-25 15:15:00
"01.03";14;2020-03-25 15:15:00
"02.03";19;2020-03-25 15:15:00
"03.03";27;2020-03-25 15:15:00
"04.03";40;2020-03-25 15:15:00
"05.03";56;2020-03-25 15:15:00
"06.03";77;2020-03-25 15:15:00
"07.03";94;2020-03-25 15:15:00
"08.03";125;2020-03-25 15:15:00
"09.03";150;2020-03-25 15:15:00
"10.03";216;2020-03-25 15:15:00
"11.03";319;2020-03-25 15:15:00
"12.03";444;2020-03-25 15:15:00
"13.03";632;2020-03-25 15:15:00
"14.03";814;2020-03-25 15:15:00
"15.03";1021;2020-03-25 15:15:00
"16.03";1307;2020-03-25 15:15:00
"17.03";1647;2020-03-25 15:15:00
"18.03";2064;2020-03-25 15:15:00
"19.03";2516;2020-03-25 15:15:00
"20.03";3027;2020-03-25 15:15:00
"21.03";3429;2020-03-25 15:15:00
"22.03";4013;2020-03-25 15:15:00
"23.03";4739;2020-03-25 15:15:00
"24.03";5359;2020-03-25 15:15:00
