"altersgruppe";"freq";"date"
"<5";57;2020-04-08 00:00:00
"5-14";287;2020-04-08 00:00:00
"15-24";1173;2020-04-08 00:00:00
"25-34";1790;2020-04-08 00:00:00
"35-44";1806;2020-04-08 00:00:00
"45-54";2680;2020-04-08 00:00:00
"55-64";2150;2020-04-08 00:00:00
">64";2696;2020-04-08 00:00:00
"<5";57;2020-04-08 01:00:00
"5-14";286;2020-04-08 01:00:00
"15-24";1173;2020-04-08 01:00:00
"25-34";1790;2020-04-08 01:00:00
"35-44";1807;2020-04-08 01:00:00
"45-54";2679;2020-04-08 01:00:00
"55-64";2151;2020-04-08 01:00:00
">64";2696;2020-04-08 01:00:00
"<5";57;2020-04-08 02:00:00
"5-14";286;2020-04-08 02:00:00
"15-24";1174;2020-04-08 02:00:00
"25-34";1790;2020-04-08 02:00:00
"35-44";1807;2020-04-08 02:00:00
"45-54";2679;2020-04-08 02:00:00
"55-64";2151;2020-04-08 02:00:00
">64";2696;2020-04-08 02:00:00
"<5";57;2020-04-08 03:00:00
"5-14";286;2020-04-08 03:00:00
"15-24";1174;2020-04-08 03:00:00
"25-34";1790;2020-04-08 03:00:00
"35-44";1807;2020-04-08 03:00:00
"45-54";2679;2020-04-08 03:00:00
"55-64";2151;2020-04-08 03:00:00
">64";2696;2020-04-08 03:00:00
"<5";57;2020-04-08 04:00:00
"5-14";286;2020-04-08 04:00:00
"15-24";1174;2020-04-08 04:00:00
"25-34";1790;2020-04-08 04:00:00
"35-44";1807;2020-04-08 04:00:00
"45-54";2679;2020-04-08 04:00:00
"55-64";2151;2020-04-08 04:00:00
">64";2696;2020-04-08 04:00:00
"<5";57;2020-04-08 05:00:00
"5-14";286;2020-04-08 05:00:00
"15-24";1174;2020-04-08 05:00:00
"25-34";1790;2020-04-08 05:00:00
"35-44";1807;2020-04-08 05:00:00
"45-54";2679;2020-04-08 05:00:00
"55-64";2151;2020-04-08 05:00:00
">64";2696;2020-04-08 05:00:00
"<5";57;2020-04-08 06:00:00
"5-14";286;2020-04-08 06:00:00
"15-24";1174;2020-04-08 06:00:00
"25-34";1790;2020-04-08 06:00:00
"35-44";1807;2020-04-08 06:00:00
"45-54";2679;2020-04-08 06:00:00
"55-64";2151;2020-04-08 06:00:00
">64";2696;2020-04-08 06:00:00
"<5";57;2020-04-08 07:00:00
"5-14";286;2020-04-08 07:00:00
"15-24";1174;2020-04-08 07:00:00
"25-34";1790;2020-04-08 07:00:00
"35-44";1807;2020-04-08 07:00:00
"45-54";2679;2020-04-08 07:00:00
"55-64";2151;2020-04-08 07:00:00
">64";2696;2020-04-08 07:00:00
"<5";58;2020-04-08 08:00:00
"5-14";286;2020-04-08 08:00:00
"15-24";1179;2020-04-08 08:00:00
"25-34";1791;2020-04-08 08:00:00
"35-44";1809;2020-04-08 08:00:00
"45-54";2685;2020-04-08 08:00:00
"55-64";2160;2020-04-08 08:00:00
">64";2707;2020-04-08 08:00:00
